,name,naverURL,,,,,,,,,,
0,산토리니,https://pcmap.place.naver.com/restaurant/37592131/review/visitor#,,,,,,,,,,
1,북경관,https://pcmap.place.naver.com/restaurant/16484506/review/visitor#,,,,,,,,,,
2,라이라이,https://pcmap.place.naver.com/restaurant/37663312/review/visitor#,,,,,,,,,,
3,쟈스민,https://pcmap.place.naver.com/restaurant/36988941/review/visitor#,,,,,,,,,,
4,"춘천명물닭갈비,막국수",https://pcmap.place.naver.com/restaurant/18205851/review/visitor#,,,,,,,,,,
5,회영루,https://pcmap.place.naver.com/restaurant/15040932/review/visitor#,,,,,,,,,,
6,까치구멍집,https://pcmap.place.naver.com/restaurant/20066367/review/visitor#,,,,,,,,,,
7,뉴가야관광호텔,https://pcmap.place.naver.com/restaurant/11658823/review/visitor#,,,,,,,,,,
8,덕화원,https://pcmap.place.naver.com/restaurant/18076590/review/visitor#,,,,,,,,,,
9,아웃백스테이크하우스 금오점,https://pcmap.place.naver.com/restaurant/11849322/review/visitor#,,,,,,,,,,
10,중화요리 일품,https://pcmap.place.naver.com/restaurant/13477593/review/visitor#,,,,,,,,,,
11,(주)엑스티라이프스타일즈 여주 얌차이나,,,,,,,,,,,
12,메이찬,https://pcmap.place.naver.com/restaurant/20597116/review/visitor#,,,,,,,,,,
13,락궁,https://pcmap.place.naver.com/restaurant/13151040/review/visitor#,,,,,,,,,,
14,팔가,https://pcmap.place.naver.com/restaurant/11626040/review/visitor#,,,,,,,,,,
15,지동관,https://pcmap.place.naver.com/restaurant/11841162/review/visitor#,,,,,,,,,,
16,주)63시티방송회관클럽백리향,,,,,,,,,,,
17,(주)63시티방송회관클럽백리향,,,,,,,,,,,
18,미스차이나,https://pcmap.place.naver.com/restaurant/1086630562/review/visitor#,,,,,,,,,,
19,대륙짬뽕,https://pcmap.place.naver.com/restaurant/238613787/review/visitor#,,,,,,,,,,
20,샹하이문,https://pcmap.place.naver.com/restaurant/31395429/review/visitor#,,,,,,,,,,
